invoicenumber,totalsalesvalue,totalquantity,totaltaxcharged,discount,totalbillamount,datetime,ntn,businessname,branchname,branchaddress,poscounter
17256224121322859780,3333.91,9.00,600.09,0.00,3935.62,2024-12-13T22:05:00+05:00,8009003-2,C PLUS SUPERMARKET,C PLUS SUPER MARKET UP MOrr,Plot A-01 (ST-09) sector ll-1 north karachi,172562
17256224121322859780,3333.91,9.00,600.09,0.00,3935.62,2024-12-13T22:05:00+05:00,8009003-2,C PLUS SUPERMARKET,C PLUS SUPER MARKET UP MOrr,Plot A-01 (ST-09) sector ll-1 north karachi,172562
17256224121322859780,3333.91,9.00,600.09,0.00,3935.62,2024-12-13T22:05:00+05:00,8009003-2,C PLUS SUPERMARKET,C PLUS SUPER MARKET UP MOrr,Plot A-01 (ST-09) sector ll-1 north karachi,172562
172562241221211644915,396.60,4.00,71.40,0.00,468.54,2024-12-21T21:15:00+05:00,8009003-2,C PLUS SUPER MARKET,C PLUS SUPER MARKET (UP Morr),Plot A-01 sT-09) sector 11-1north karachi,172562
17255625010921122912,13990.19,61.10,1876.31,0.00,15873.85,2025-01-09T21:07:00+05:00,8009003-2,C PLUS SUPER MARKET,C PLUS SUPER MARKET (UP Morr),Plot A-01 (sT-09) sector ll-1 north karachi,172556
17255625010921122912,13990.19,61.10,1876.31,0.00,15873.85,2025-01-09T21:07:00+05:00,8009003-2,C PLUS SUPERMARKET,C PLUS SUPER MARKET (UP Morr),Plot A-01 (ST-09) sector 11-1 north karachi,172556
172558250113184519537,1143.23,3.00,205.77,0.00,1349.36,2025-01-13118:44:00+05:00,8009003-2,C PLUS SUPERMARKET,C PLUS SUPER MARKET (UP MOrr),Plot A-01 sT-09 sector 1l-1 north karachi,172558
172558241208221614969,7543.96,12.00,230.04,0.00,7775.08,2024-12-08T22:10:00+05:00,8009003-2,C PLUS SUPERMARKET,C PLUS SUPER MARKET (UP MOrr),Plot A-01 sT-09) sector ll-1 north karachi,172558
172558241208221614969,7543.96,12.00,230.04,0.00,7775.08,2024-12-08T22:10:00+05:00,8009003-2,C PLUS SUPERMARKET,C PLUS SUPER MARKET (UP MOrr),Plot A-01 ST-09) sector ll-1 north karachi,172558
128020DKOU45278095,5728.12,3.00,1030.88,1022.50,6758.00,2024-11-21T21:44:41.387+05:00,3782452-0,Al Baraka Apparel,SAIMA PAARIPOINT OUTLET,"SHOP NO.1 AND 2,SAIMA PAARI POINT D-5, BLOCK-H NORTH",PPOINT
136171241206223840263,3908.17,10.00,19.83,643.36,3284.64,2024-12-06T00:00:00+05:00,4225943-6,DIAMOND SUPER MARKETS,North karachi,A-913 Sector 1l-B North Karachi Pakistan,Nk-Pos4
143739DL6T26522124,7626.27,1.00,1372.73,0.00,9000.00,2024-12-06T20:26:16.857+05:00,0912610-4,SERVICE SALES CORPORATION (PVT) LIMITED,NDURE North Walk Nazimabad,NDURE North Walk Nazimabad,SSC-130268
167422241214205722389,669.49,2.00,120.51,0.00,790.00,2024-12-14T20:56:00+05:00,A049189-4,RAHMAN ENTERPRISES,Kifayah (Suaad)-North Karachi,Ground Floor Shops Plot No Sa 14 Sector 5 B/2 North,Bakery-North Karachi-POs-1
13617224112523544951,58.47,1.00,10.53,0.00,69.00,2024-11-25T00:00:00+05:00,4225943-6,DIAMOND SUPER MARKETS,North karachi,A-913 Sector 11-BNorth KarachiPakistan,Nk-Pos5
13166624120923118106,1243.20,3.00,223.60,274.20,1466.80,2024-12-09T22:00:00+05:00,7565001-6,NOVA CARE PRIVATE)LIMITED,037-DVAGOU-PMOOR,"Sector l1C-3 Sector 11 C 1 North Karachi Twp,Karachi",037-B
131666250102141639798,207.00,2.00,0.00,0.00,207.00,2025-01-02T14:00:00+05:00,7565001-6,NOVA CARE (PRIVATE) LIMITED,037-DVAGOU-P MOOR,"Sector llC-3 Sector 11 C 1North Karachi Twp,Karachi",037-B
142970241103183830424,75.42,1.00,13.58,0.00,89.00,2024-11-03T18:37:51.113+05:00,8972456-5,BARADARLSUPPERMARKET,BARADARI,"Plot No.R-419,Sector 9,North Karachi",POS-1
167422241211182837977,550.85,1.00,99.15,0.00,650.00,2024-12-11T18:28:00+05:00,A049189-4,RAHMAN ENTERPRISES,KifayahSuaad)-North Karachi,Ground Floor Shops Plot No Sa 14 Sector 5 B/2 North,Bakery-North Karachi-POs-1
132642240927203057138,17906.78,4.00,3223.23,1.00,21129.01,2024-09-27120:22:58+05:00,4161748-7,M/S ROYAL FASHIONS,Royal Fashion,"Shop D-12,Block H,North Nazimabad,Hyderi Near 5 Star",2
16070leahw25368929,3288.97,13.00,592.03,0.00,3881.00,2025-01-14T23:23:00+05:00,A049189-4,RAHMAN ENTERPRISES,Five Star,A-672 Block H Shahrah-E-Jahangir North Nazimabac,FBR-POS-Five Star-1
154649241216145535906,279.66,2.00,50.34,0.00,330.00,2024-12-16T14:55:11.073+05:00,2709033-7,UNITED KING FOODS (PRIVATE) LIMITED,United King North Karachi,"Shop no. R-435, Sector llc/1, North Karachi near UP more.",UP Cash1
136171241205143613812,487.56,2.00,119.44,0.00,607.00,2024-12-05T00:00:00+05:00,4225943-6,DIAMOND SUPER MARKETS,North karachi,A-913 Sector 11-BNorth KarachiPakistan,Nk-Pos4
136169241227225644803,1758.76,7.00,296.24,0.00,2055.00,2024-12-27T00:00:00+05:00,4225943-6,DIAMOND SUPERMARKETS,North karachi,A-913 Sector 11-B North Karachi Pakistan,Nk-Pos1
17256224121322859780,3333.91,9.00,600.09,0.00,3935.62,2024-12-13T22:05:00+05:00,8009003-2,C PLUS SUPERMARKET,C PLUS SUPER MARKET UP MOrr,Plot A-01 (ST-09) sector ll-1 north karachi,172562
17256224121322859780,3333.91,9.00,600.09,0.00,3935.62,2024-12-13T22:05:00+05:00,8009003-2,C PLUS SUPER MARKET,C PLUS SUPER MARKET (UP Morr),Plot A-01 (ST-09) sector 11-1 north karachi,172562
17256224121322859780,3333.91,9.00,600.09,0.00,3935.62,2024-12-13T22:05:00+05:00,8009003-2,C PLUS SUPER MARKET,C PLUS SUPER MARKET (UP Morr),Plot A-01 (ST-09) sector 11-1 north karachi,172562
17256224121322859780,3333.91,9.00,600.09,0.00,3935.62,2024-12-13T22:05:00+05:00,8009003-2,C PLUS SUPERMARKET,C PLUS SUPER MARKET UP MOrr,Plot A-01 (ST-09) sector ll-1 north karachi,172562
143739DL6T26522124,7626.27,1.00,1372.73,0.00,9000.00,2024-12-06T20:26:16.857+05:00,0912610-4,SERVICE SALES CORPORATION (PVT) LIMITED,NDURE North Walk Nazimabad,NDURE North Walk Nazimabad,SSC-130268
143739DL6T265221245l,7626.27,1.00,1372.73,0.00,9000.00,2024-12-06T20:26:16.857+05:00,0912610-4,SERVICE SALES CORPORATION (PVT) LIMITED,NDURE North Walk Nazimabad,NDURE North Walk Nazimabad,SSC-130268
143739DL6T265221245l,7626.27,1.00,1372.73,0.00,9000.00,2024-12-06T20:26:16.857+05:00,0912610-4,SERVICE SALES CORPORATION (PVT) LIMITED,NDURE North Walk Nazimabad,NDURE North Walk Nazimabad,SSC-130268
143739DL6T265221245l,7626.27,1.00,1372.73,0.00,9000.00,2024-12-06T20:26:16.857+05:00,0912610-4,SERVICE SALES CORPORATION (PVT) LIMITED,NDURE North Walk Nazimabad,NDURE North Walk Nazimabad,SSC-130268
143739DL6T26522124,7626.27,1.00,1372.73,0.00,9000.00,2024-12-06T20:26:16.857+05:00,0912610-4,SERVICE SALES CORPORATION (PVT) LIMITED,NDURE North Walk Nazimabad,NDURE North Walk Nazimabad,SSC-130268
154649241216145535906,279.66,2.00,50.34,0.00,330.00,2024-12-16T14:55:11.073+05:00,2709033-7,UNITED KING FOODS (PRIVATE) LIMITED,United King North Karachi,"Shop no. R-435, Sector 11c/1, North Karachi near UP more.",UP Cash 1
143739DL6T26522124,7626.27,1.00,1372.73,0.00,9000.00,2024-12-06T20:26:16.857+05:00,0912610-4,SERVICE SALES CORPORATION (PVT) LIMITED,NDURE North Walk Nazimabad,NDURE North Walk Nazimabad,SSC-130268
154649241216145535906,279.66,2.00,50.34,0.00,330.00,2024-12-16T14:55:11.073+05:00,2709033-7,UNITED KING FOODS (PRIVATE) LIMITED,United King North Karachi,"Shop no. R-435, Sector 11c/1, North Karachi near UP more.",UP Cash 1
